ticker,ltp_received_time,ltp_received_cpu,signal_generated_time,signal_generated_cpu,order_submitted_time,order_submitted_cpu,delta_signal,delta_signal_cpu,delta_order,delta_order_cpu
AVGO,13935.9,256223031.9,14048.6,256223718.6,,,112.8,686.8,,
NVDA,13935.9,256223031.9,14051.1,256223721.1,,,115.3,689.2,,
JPM,13935.9,256223031.9,14053.6,256223723.5,,,117.7,691.6,,
PLTR,13935.9,256223031.9,14056.4,256223726.3,,,120.5,694.4,,
TSLA,13935.9,256223031.9,14058.9,256223728.7,,,123.0,696.9,,
AVGO,14115.9,256343100.7,14227.0,256343809.5,,,111.1,708.8,,
NVDA,14115.9,256343100.7,14229.8,256343812.4,,,113.9,711.6,,
JPM,14115.9,256343100.7,14232.3,256343814.8,,,116.4,714.1,,
PLTR,14115.9,256343100.7,14234.6,256343817.2,,,118.7,716.4,,
TSLA,14115.9,256343100.7,14237.0,256343819.5,,,121.1,718.8,,
AVGO,14294.0,256463197.7,14406.6,256463915.9,,,112.6,718.1,,
NVDA,14294.0,256463197.7,14409.1,256463918.3,,,115.1,720.6,,
JPM,14294.0,256463197.7,14411.9,256463921.1,,,117.9,723.4,,
PLTR,14294.0,256463197.7,14414.3,256463923.5,,,120.3,725.8,,
TSLA,14294.0,256463197.7,14416.7,256463925.9,,,122.7,728.2,,
AVGO,14472.8,256583298.5,14582.6,256584001.9,,,109.8,703.4,,
NVDA,14472.8,256583298.5,14585.2,256584004.5,,,112.4,705.9,,
JPM,14472.8,256583298.5,14588.0,256584007.2,,,115.2,708.7,,
PLTR,14472.8,256583298.5,14590.4,256584009.7,,,117.6,711.2,,
TSLA,14472.8,256583298.5,14592.8,256584012.0,,,120.0,713.5,,
AVGO,14651.7,256703380.7,14763.8,256704072.3,,,112.1,691.6,,
NVDA,14651.7,256703380.7,14766.3,256704074.7,,,114.5,694.0,,
JPM,14651.7,256703380.7,14768.6,256704077.0,,,116.9,696.3,,
PLTR,14651.7,256703380.7,14771.0,256704079.4,,,119.2,698.7,,
TSLA,14651.7,256703380.7,14773.3,256704081.8,,,121.6,701.1,,
AVGO,14831.2,256823455.1,14944.3,256824159.4,,,113.1,704.3,,
NVDA,14831.2,256823455.1,14946.9,256824162.0,,,115.7,706.9,,
JPM,14831.2,256823455.1,14949.8,256824164.9,,,118.6,709.8,,
PLTR,14831.2,256823455.1,14952.3,256824167.4,,,121.1,712.3,,
TSLA,14831.2,256823455.1,14954.7,256824169.9,,,123.6,714.7,,
