ticker,ltp_received_time,ltp_received_cpu,signal_generated_time,signal_generated_cpu,order_submitted_time,order_submitted_cpu,delta_signal,delta_signal_cpu,delta_order,delta_order_cpu
GOOGL,5105.7,39281408.3,5177.6,39281862.5,,,71.9,454.3,,
PLTR,5105.7,39281408.3,5180.3,39281865.2,,,74.6,456.9,,
ORCL,5105.7,39281408.3,5183.1,39281868.0,,,77.4,459.7,,
XOM,5105.7,39281408.3,5185.8,39281870.7,,,80.1,462.5,,
AMZN,5105.7,39281408.3,5188.6,39281873.6,,,82.9,465.3,,
AAPL,5105.7,39281408.3,5191.5,39281876.5,,,85.9,468.2,,
GOOG,5105.7,39281408.3,5194.8,39281879.7,,,89.1,471.4,,
NFLX,5105.7,39281408.3,5199.7,39281884.6,,,94.0,476.4,,
GOOGL,5209.2,39283998.1,5281.8,39284453.4,,,72.5,455.3,,
PLTR,5209.2,39283998.1,5284.4,39284456.1,,,75.2,458.0,,
ORCL,5209.2,39283998.1,5287.3,39284459.0,,,78.0,460.8,,
XOM,5209.2,39283998.1,5289.9,39284461.6,,,80.7,463.5,,
AMZN,5209.2,39283998.1,5292.9,39284464.7,,,83.7,466.6,,
AAPL,5209.2,39283998.1,5296.9,39284468.6,,,87.7,470.5,,
GOOG,5209.2,39283998.1,5301.5,39284473.3,,,92.3,475.2,,
NFLX,5209.2,39283998.1,5306.3,39284478.0,,,97.1,479.9,,
GOOGL,5317.1,39286597.8,5387.3,39287050.0,,,70.2,452.1,,
PLTR,5317.1,39286597.8,5389.9,39287052.6,,,72.8,454.7,,
ORCL,5317.1,39286597.8,5392.8,39287055.5,,,75.7,457.6,,
XOM,5317.1,39286597.8,5395.5,39287058.2,,,78.4,460.4,,
AMZN,5317.1,39286597.8,5398.3,39287061.0,,,81.2,463.2,,
AAPL,5317.1,39286597.8,5401.2,39287063.9,,,84.1,466.1,,
GOOG,5317.1,39286597.8,5404.9,39287067.7,,,87.8,469.8,,
NFLX,5317.1,39286597.8,5409.5,39287072.2,,,92.4,474.4,,
GOOGL,5420.2,39289189.8,5489.5,39289653.1,,,69.3,463.2,,
PLTR,5420.2,39289189.8,5492.1,39289655.7,,,71.9,465.9,,
ORCL,5420.2,39289189.8,5494.9,39289658.5,,,74.7,468.7,,
XOM,5420.2,39289189.8,5497.6,39289661.2,,,77.4,471.4,,
AMZN,5420.2,39289189.8,5501.2,39289664.8,,,81.0,475.0,,
AAPL,5420.2,39289189.8,5505.0,39289668.6,,,84.8,478.8,,
GOOG,5420.2,39289189.8,5509.9,39289673.5,,,89.7,483.7,,
NFLX,5420.2,39289189.8,5514.0,39289677.7,,,93.8,487.8,,
GOOGL,5525.0,39291800.4,5595.8,39292260.6,,,70.7,460.2,,
PLTR,5525.0,39291800.4,5598.4,39292263.3,,,73.4,462.9,,
ORCL,5525.0,39291800.4,5601.2,39292266.0,,,76.2,465.7,,
XOM,5525.0,39291800.4,5604.0,39292268.8,,,79.0,468.4,,
AMZN,5525.0,39291800.4,5606.8,39292271.6,,,81.8,471.3,,
AAPL,5525.0,39291800.4,5611.0,39292275.8,,,86.0,475.5,,
GOOG,5525.0,39291800.4,5616.0,39292280.9,,,91.0,480.5,,
NFLX,5525.0,39291800.4,5619.2,39292284.0,,,94.2,483.6,,
GOOGL,5629.0,39294408.2,5698.4,39294874.6,,,69.3,466.4,,
PLTR,5629.0,39294408.2,5701.0,39294877.3,,,72.0,469.1,,
ORCL,5629.0,39294408.2,5704.8,39294881.1,,,75.8,472.9,,
XOM,5629.0,39294408.2,5707.8,39294884.1,,,78.8,475.9,,
AMZN,5629.0,39294408.2,5710.6,39294886.9,,,81.6,478.7,,
AAPL,5629.0,39294408.2,5715.0,39294891.6,,,86.0,483.4,,
GOOG,5629.0,39294408.2,5720.0,39294896.8,,,91.0,488.6,,
NFLX,5629.0,39294408.2,5726.1,39294905.4,,,97.1,497.2,,
GOOGL,5737.0,39297030.1,5807.4,39297485.2,,,70.4,455.1,,
PLTR,5737.0,39297030.1,5809.9,39297487.8,,,73.0,457.6,,
ORCL,5737.0,39297030.1,5812.7,39297490.5,,,75.7,460.4,,
XOM,5737.0,39297030.1,5815.6,39297493.4,,,78.6,463.3,,
AMZN,5737.0,39297030.1,5819.2,39297497.1,,,82.3,467.0,,
AAPL,5737.0,39297030.1,5822.3,39297500.2,,,85.4,470.1,,
GOOG,5737.0,39297030.1,5827.8,39297505.7,,,90.8,475.6,,
NFLX,5737.0,39297030.1,5831.9,39297509.9,,,95.0,479.7,,
GOOGL,5844.2,39299633.5,5912.3,39300087.4,,,68.1,453.9,,
PLTR,5844.2,39299633.5,5915.1,39300090.1,,,70.9,456.7,,
ORCL,5844.2,39299633.5,5918.2,39300093.3,,,74.0,459.8,,
XOM,5844.2,39299633.5,5922.2,39300097.2,,,77.9,463.8,,
AMZN,5844.2,39299633.5,5925.1,39300100.1,,,80.8,466.7,,
AAPL,5844.2,39299633.5,5930.4,39300105.5,,,86.2,472.0,,
GOOG,5844.2,39299633.5,5935.4,39300110.5,,,91.2,477.1,,
NFLX,5844.2,39299633.5,5939.7,39300114.8,,,95.5,481.3,,
GOOGL,5951.8,39302239.4,6021.9,39302701.9,,,70.1,462.4,,
PLTR,5951.8,39302239.4,6024.5,39302704.4,,,72.6,465.0,,
ORCL,5951.8,39302239.4,6027.2,39302707.2,,,75.4,467.8,,
XOM,5951.8,39302239.4,6030.7,39302710.6,,,78.8,471.2,,
AMZN,5951.8,39302239.4,6034.3,39302714.3,,,82.5,474.9,,
AAPL,5951.8,39302239.4,6037.9,39302717.8,,,86.0,478.4,,
GOOG,5951.8,39302239.4,6043.1,39302723.1,,,91.3,483.7,,
NFLX,5951.8,39302239.4,6046.8,39302726.8,,,95.0,487.4,,
GOOGL,6058.6,39304857.5,6130.6,39305311.6,,,72.0,454.0,,
PLTR,6058.6,39304857.5,6133.3,39305314.3,,,74.7,456.8,,
ORCL,6058.6,39304857.5,6136.1,39305317.1,,,77.5,459.6,,
XOM,6058.6,39304857.5,6138.8,39305319.8,,,80.2,462.3,,
AMZN,6058.6,39304857.5,6141.6,39305322.6,,,83.0,465.0,,
AAPL,6058.6,39304857.5,6145.7,39305326.7,,,87.1,469.2,,
GOOG,6058.6,39304857.5,6150.6,39305331.6,,,92.0,474.1,,
NFLX,6058.6,39304857.5,6153.8,39305334.8,,,95.2,477.3,,
GOOGL,6165.1,39307460.4,6235.5,39307922.7,,,70.4,462.3,,
PLTR,6165.1,39307460.4,6238.0,39307925.3,,,72.9,464.9,,
ORCL,6165.1,39307460.4,6240.8,39307928.1,,,75.7,467.7,,
XOM,6165.1,39307460.4,6243.5,39307930.8,,,78.4,470.4,,
