timestamp,AAPL,AMZN,AVGO,BRK.B,COST,GOOG,GOOGL,JNJ,JPM,LLY,MA,META,MSFT,NFLX,NVDA,ORCL,PLTR,TSLA,V,WMT,XOM
2025-10-14 19:50:00+00:00,247.1,216.03,343.59,495.77,945.275,245.58,244.655,190.48,301.95,811.73,567.48,707.9,512.57,1214.71,180.73,298.805,179.095,427.85,347.795,106.96,112.33
2025-10-14 19:52:00+00:00,247.58,216.12,344.087,495.7765,945.64,245.54,244.69,190.59,301.83,812.7,567.62,707.52,513.08,1214.79,180.685,299.19,179.32,428.34,348.01,107.005,112.38
2025-10-14 19:54:00+00:00,247.27,216.15,343.75,495.685,946.08,246.06,245.2,190.84,301.97,812.51,568.26,708.02,512.96,1213.37,180.05,298.58,179.61,428.42,347.83,107.08,112.41
2025-10-14 19:56:00+00:00,247.55,216.42,343.995,496.04,946.87,246.24,245.415,190.89,302.38,812.79,568.88,708.57,513.52,1214.28,180.11,299.0809,179.74,429.1,348.185,107.14,112.385
2025-10-14 19:58:00+00:00,247.85,216.44,344.13,495.99,946.51,246.19,245.43,190.81,301.99,812.37,567.83,708.77,513.71,1215.73,180.07,299.03,179.729,429.25,348.405,107.18,112.3
2025-10-14 20:00:00+00:00,247.77,216.8,344.13,495.97,946.51,246.25,245.39,190.85,302.23,812.35,567.92,708.5687,514.1,1214.0,180.39,299.12,179.74,429.7,348.38,106.86,112.29
2025-10-15 13:30:00+00:00,249.65,216.705,351.9,493.415,948.6,248.81,247.98,192.0025,308.475,811.935,566.4,714.315,515.0527,1213.95,183.405,307.99,182.44,433.925,348.17,108.08,112.89
2025-10-15 13:32:00+00:00,249.13,216.495,352.535,492.4,953.4088,248.44,247.59,192.205,309.1237,811.965,566.745,715.435,515.8,1215.23,183.42,306.3,183.63,432.75,348.32,108.2901,112.93
2025-10-15 13:34:00+00:00,249.19,216.79,351.65,494.02,952.15,248.1111,247.2623,191.95,310.0899,812.0,566.3,715.5545,514.9,1215.16,182.919,304.745,183.855,433.0497,347.5475,108.535,113.31
2025-10-15 13:36:00+00:00,249.34,216.58,351.475,494.76,955.95,248.49,247.6,191.875,310.05,810.655,566.28,715.955,514.92,1213.455,182.8158,306.49,183.47,433.79,347.81,108.77,113.15
2025-10-15 13:38:00+00:00,249.45,217.01,348.8708,494.83,956.265,248.01,247.17,191.905,309.73,810.32,566.45,717.06,515.02,1212.41,181.94,305.1,182.3,432.3201,347.695,108.84,113.43
2025-10-15 13:40:00+00:00,250.15,217.2912,350.175,494.905,956.62,248.0763,247.2599,192.16,310.12,812.235,566.77,719.6,514.615,1213.64,182.315,307.435,182.78,433.33,348.6423,108.725,113.355
2025-10-15 13:42:00+00:00,249.69,217.19,349.025,494.905,960.81,247.915,247.08,192.66,309.44,813.0185,567.17,718.85,514.4301,1209.7401,181.84,307.15,182.07,430.79,348.94,108.76,113.4
2025-10-15 13:44:00+00:00,249.92,217.36,350.5701,495.38,958.125,247.82,246.92,192.59,309.59,814.0101,567.91,719.21,514.715,1207.27,182.33,307.4034,182.6771,433.9594,349.615,108.61,113.451
2025-10-15 13:46:00+00:00,249.785,216.47,349.998,495.115,957.66,247.095,246.3,192.19,309.1911,815.9999,568.015,716.33,514.38,1208.8386,181.4299,306.33,181.385,432.96,349.66,108.565,113.23
2025-10-15 13:48:00+00:00,249.69,216.7422,349.98,494.3,957.86,247.03,246.26,192.07,308.74,814.655,567.11,717.54,513.93,1207.0,181.395,307.68,182.19,431.8499,348.99,108.62,113.0
2025-10-15 13:50:00+00:00,249.8699,217.1652,352.3305,494.3855,957.16,247.54,246.74,192.2,309.33,813.75,566.28,717.375,514.91,1207.525,181.91,310.058,182.428,433.715,348.85,108.75,113.065
2025-10-15 13:52:00+00:00,250.185,217.15,353.13,494.735,959.66,247.81,247.055,192.8,309.235,817.14,567.14,717.779,514.95,1208.16,182.06,310.1205,182.2943,433.175,349.37,108.96,113.02
2025-10-15 13:54:00+00:00,250.36,217.23,353.6,495.29,959.62,248.1952,247.5,193.36,310.12,817.4,567.31,718.07,514.98,1207.82,182.2299,310.86,182.38,434.23,349.42,108.875,113.14
2025-10-15 13:56:00+00:00,250.46,216.985,353.9204,495.53,961.2224,248.3,247.535,193.425,310.71,816.23,566.695,718.2,514.97,1206.98,182.25,309.435,182.59,434.9899,349.435,108.76,113.3
2025-10-15 13:58:00+00:00,250.775,216.94,354.235,495.17,960.57,248.31,247.535,193.005,309.98,817.74,566.6,719.2,515.1,1210.0,182.145,309.405,182.6171,435.615,349.36,108.65,113.245
2025-10-15 14:00:00+00:00,251.14,216.83,354.15,495.7,960.82,248.78,248.04,193.01,310.4475,816.86,566.38,719.36,515.72,1210.5525,182.125,308.3,182.7,434.2854,349.55,108.5475,113.36
2025-10-15 14:02:00+00:00,251.5062,216.865,353.84,495.125,960.66,249.6499,248.93,192.86,310.3,817.44,566.35,719.0,515.89,1208.725,182.3,307.24,182.75,434.68,349.46,108.45,113.26
2025-10-15 14:04:00+00:00,251.73,217.06,353.19,495.09,960.585,249.7637,249.04,192.98,310.5196,818.1764,566.95,720.3,516.025,1208.84,182.595,306.41,182.71,435.9444,349.45,108.57,113.3611
2025-10-15 14:06:00+00:00,251.29,217.0458,354.6678,495.01,960.875,250.16,249.47,192.83,310.42,820.53,568.1499,721.6274,516.82,1211.01,182.745,306.82,182.715,435.51,349.64,108.695,113.34
2025-10-15 14:08:00+00:00,251.39,216.97,355.4496,495.45,960.8158,250.25,249.54,192.81,311.05,820.505,568.13,720.66,516.89,1211.73,182.71,306.995,182.73,436.0,349.845,108.74,113.33
2025-10-15 14:10:00+00:00,251.4,216.725,355.5244,494.775,960.3801,250.43,249.76,192.42,310.9,819.0075,567.585,721.5157,516.1801,1212.32,182.6946,307.44,183.25,436.71,349.743,108.75,113.22
