id,symbol,type,status,position_intent,limit_price,stop_price,qty,created_at,updated_at,expires_at,canceled_at,time_in_force
e9910b53-857e-46ca-9fa9-25c83e4e4ea2,COST,limit,new,sell_to_close,967.05,,1,2025-10-10 19:56:02.128534+00:00,2025-10-10 19:56:02.794993+00:00,2026-01-08 21:00:00+00:00,,gtc
9731a2db-dfc4-4887-90a5-0f77a87a23dd,GOOGL,limit,new,sell_to_close,245.65,,1,2025-10-10 19:56:01.868160+00:00,2025-10-10 19:56:02.274764+00:00,2026-01-08 21:00:00+00:00,,gtc
fe739f31-5f6f-4fff-b8e8-cc90c8452155,COST,market,filled,buy_to_open,,,1,2025-10-10 19:56:02.128534+00:00,2025-10-10 19:56:02.782594+00:00,2026-01-08 21:00:00+00:00,,gtc
34326528-7418-48d5-a946-efd6dd4524dc,COST,stop,held,sell_to_close,,911.25,1,2025-10-10 19:56:02.128534+00:00,2025-10-10 19:56:02.133053+00:00,2026-01-08 21:00:00+00:00,,gtc
70f5eba1-d7b3-416e-992d-99113bf21e1b,GOOGL,market,filled,buy_to_open,,,1,2025-10-10 19:56:01.868160+00:00,2025-10-10 19:56:02.259622+00:00,2026-01-08 21:00:00+00:00,,gtc
ea8a6ee4-092d-4f4c-88d5-d907b9fac51f,GOOGL,stop,held,sell_to_close,,231.46,1,2025-10-10 19:56:01.868160+00:00,2025-10-10 19:56:01.869888+00:00,2026-01-08 21:00:00+00:00,,gtc
41295982-2bf2-42a1-b5b4-56d8eaac686e,JPM,limit,new,buy_to_close,291.18,,1,2025-10-10 18:20:01.805977+00:00,2025-10-10 18:20:01.956584+00:00,2026-01-08 21:00:00+00:00,,gtc
97c12c11-04c0-4850-b4cb-5a6edacb281e,JPM,market,filled,sell_to_open,,,1,2025-10-10 18:20:01.805977+00:00,2025-10-10 18:20:01.947600+00:00,2026-01-08 21:00:00+00:00,,gtc
8c4dee9f-b6ba-4861-a8e2-556bb87df424,JPM,stop,held,buy_to_close,,309.37,1,2025-10-10 18:20:01.805977+00:00,2025-10-10 18:20:01.808055+00:00,2026-01-08 21:00:00+00:00,,gtc
b74ae202-9766-4b95-b6fd-d081a69a58e4,AVGO,limit,new,sell_to_close,342.47,,1,2025-10-10 18:04:02.286875+00:00,2025-10-10 18:04:02.922904+00:00,2026-01-08 21:00:00+00:00,,gtc
457eac5e-f439-4ed9-850e-29a6eb87d87e,AVGO,market,filled,buy_to_open,,,1,2025-10-10 18:04:02.286875+00:00,2025-10-10 18:04:02.911777+00:00,2026-01-08 21:00:00+00:00,,gtc
736edac9-aea4-4f4a-bf7a-9c5225087325,AVGO,stop,held,sell_to_close,,322.7,1,2025-10-10 18:04:02.286875+00:00,2025-10-10 18:04:02.288662+00:00,2026-01-08 21:00:00+00:00,,gtc
27cad777-4aad-4aed-8a85-22fd9ab2c202,BRK.B,limit,new,sell_to_close,501.72,,1,2025-10-10 16:40:06.528755+00:00,2025-10-10 16:40:07.153040+00:00,2026-01-08 21:00:00+00:00,,gtc
8a67bf54-3b24-4092-af07-a570ec01007e,AMZN,limit,new,sell_to_close,224.08,,1,2025-10-10 16:40:06.157203+00:00,2025-10-10 16:40:06.768693+00:00,2026-01-08 21:00:00+00:00,,gtc
2fad1c56-dac6-496c-88b7-a795d98b80f0,BRK.B,market,filled,buy_to_open,,,1,2025-10-10 16:40:06.528755+00:00,2025-10-10 16:40:07.142226+00:00,2026-01-08 21:00:00+00:00,,gtc
bae8c3a7-46c3-41d2-93ea-7543d21caf03,BRK.B,stop,held,sell_to_close,,472.76,1,2025-10-10 16:40:06.528755+00:00,2025-10-10 16:40:06.530953+00:00,2026-01-08 21:00:00+00:00,,gtc
f8c5136d-5539-452a-b8df-1d9087ed08d0,AMZN,market,filled,buy_to_open,,,1,2025-10-10 16:40:06.157203+00:00,2025-10-10 16:40:06.761450+00:00,2026-01-08 21:00:00+00:00,,gtc
c780dcd6-2341-4765-a33d-b71fc5535ec4,AMZN,stop,held,sell_to_close,,211.14,1,2025-10-10 16:40:06.157203+00:00,2025-10-10 16:40:06.158752+00:00,2026-01-08 21:00:00+00:00,,gtc
71ed6750-d195-4edd-85e7-97d68f54cc1e,ORCL,limit,new,buy_to_close,291.14,,1,2025-10-10 07:40:13.173266+00:00,2025-10-10 13:30:29.062902+00:00,2026-01-08 21:00:00+00:00,,gtc
b75947e7-f195-4789-996f-4b37201ed2cb,NFLX,limit,new,sell_to_close,1257.3,,1,2025-10-10 07:40:24.507869+00:00,2025-10-10 13:30:13.552230+00:00,2026-01-08 21:00:00+00:00,,gtc
52773dae-9df2-45df-b63a-82111d9e8e8f,COST,limit,filled,buy_to_close,930.9,,1,2025-10-10 07:41:40.381866+00:00,2025-10-10 19:54:43.511165+00:00,2026-01-08 21:00:00+00:00,,gtc
37358222-ffc7-4aaf-a470-13a8c31bb96d,ORCL,market,filled,sell_to_open,,,1,2025-10-10 07:40:13.173266+00:00,2025-10-10 13:30:25.214362+00:00,2026-01-08 21:00:00+00:00,,gtc
4a31d59f-a24a-4bcc-9e5e-5f57654d6826,COST,market,filled,sell_to_open,,,1,2025-10-10 07:41:40.381866+00:00,2025-10-10 13:30:02.522518+00:00,2026-01-08 21:00:00+00:00,,gtc
94b91724-f593-4957-8c3e-6a692b3f5948,NFLX,market,filled,buy_to_open,,,1,2025-10-10 07:40:24.507869+00:00,2025-10-10 13:30:05.400803+00:00,2026-01-08 21:00:00+00:00,,gtc
3792f7b6-aa2d-4f52-8b74-d17372baecb3,COST,stop,canceled,buy_to_close,,989.06,1,2025-10-10 07:41:40.381866+00:00,2025-10-10 19:54:43.511351+00:00,2026-01-08 21:00:00+00:00,2025-10-10 19:54:43.511350+00:00,gtc
e0bd3ddf-7084-40d7-9c01-f52bce55a168,NFLX,stop,held,sell_to_close,,1184.75,1,2025-10-10 07:40:24.507869+00:00,2025-10-10 07:40:24.509533+00:00,2026-01-08 21:00:00+00:00,,gtc
eb2622b0-1d2f-427e-a4fd-c445bfc8da15,ORCL,stop,held,buy_to_close,,309.32,1,2025-10-10 07:40:13.173266+00:00,2025-10-10 07:40:13.175157+00:00,2026-01-08 21:00:00+00:00,,gtc
